id,duration,minimum,maximum,frequency_change,direction,pca,category,sex,mean_duration,mean_frequency,mean_change,mean_pca,,
348,0.111292517,882.8613281,3736.010742,2853.149414,68.45795226,-0.16803,N,F,0.095252737,1348.184311,3921.35189,2573.167579,-21.10128853,-0.229770421
348,0.230839002,1216.625977,4672.705078,3456.079102,-479.0884092,1.72679,N,F,,,,,,
348,0.102494331,1302.758789,3531.445313,2228.686523,-380.9853353,0.32769,N,F,,,,,,
348,0.084353741,904.3945313,4446.606445,3542.211914,488.9185412,-0.87135,N,F,,,,,,
348,0.107029478,990.5273438,4640.405273,3649.87793,124.2230615,-0.10402,N,F,,,,,,
348,0.11015873,1130.493164,4015.942383,2885.449219,-356.1909505,0.49752,N,F,,,,,,
348,0.079546485,1324.291992,3423.779297,2099.487305,-348.6516288,0.07511,N,F,,,,,,
348,0.118820862,1238.15918,4489.672852,3251.513672,30.94480453,0.03907,N,F,,,,,,
348,0.126621315,807.4951172,4435.839844,3628.344727,62.04753439,0.13553,N,F,,,,,,
348,0.243764172,904.3945313,4263.574219,3359.179688,455.6037704,0.3341,N,F,,,,,,
348,0.107823129,915.1611328,3951.342773,3036.181641,-130.6921408,0.16074,N,F,,,,,,
348,0.182834467,872.0947266,4629.638672,3757.543945,603.7798912,-0.26362,N,F,,,,,,
348,0.11952381,1248.925781,3337.646484,2088.720703,282.9834382,-0.61916,N,F,,,,,,
348,0.112471655,1410.424805,4231.274414,2820.849609,-560.2250552,0.82028,N,F,,,,,,
348,0.100680272,1281.225586,3940.576172,2659.350586,-571.5546614,0.71245,N,F,,,,,,
348,0.106984127,1475.024414,3488.378906,2013.354492,-654.9848801,0.74189,N,F,,,,,,
348,0.092517007,947.4609375,3391.479492,2444.018555,-108.5303688,-0.12522,N,F,,,,,,
348,0.136054422,882.8613281,4188.208008,3305.34668,37.01642422,0.17116,N,F,,,,,,
348,0.084353741,979.7607422,3843.676758,2863.916016,-143.2882047,-0.03515,N,F,,,,,,
348,0.132426304,1087.426758,4360.473633,3273.046875,448.1000578,-0.50881,N,F,,,,,,
348,0.092517007,1055.126953,4231.274414,3176.147461,-107.665857,0.04206,N,F,,,,,,
348,0.067120181,775.1953125,3671.411133,2896.21582,396.9762256,-1.00504,N,F,,,,,,
348,0.134807256,1410.424805,4618.87207,3208.447266,-133.4341497,0.40706,N,F,,,,,,
348,0.107414966,839.7949219,3434.545898,2594.750977,501.2685309,-0.93606,N,F,,,,,,
348,0.107823129,1948.754883,4252.807617,2304.052734,687.7208812,-1.29265,N,F,,,,,,
348,0.076190476,1087.426758,3639.111328,2551.68457,-393.4853889,0.22448,N,F,,,,,,
348,0.104240363,1324.291992,3488.378906,2164.086914,-110.8555855,-0.09815,N,F,,,,,,
348,0.096145125,947.4609375,4651.171875,3703.710938,254.0958733,-0.37711,N,F,,,,,,
348,0.128798186,1162.792969,3488.378906,2325.585938,-205.5882349,0.27191,N,F,,,,,,
348,0.109183673,1022.827148,3692.944336,2670.117188,-48.0916831,-0.04305,N,F,,,,,,
348,0.078911565,915.1611328,3951.342773,3036.181641,256.1641166,-0.66334,N,F,,,,,,
348,0.100816327,882.8613281,4188.208008,3305.34668,368.4356145,-0.61333,N,F,,,,,,
348,0.117188209,839.7949219,3639.111328,2799.316406,82.23984185,-0.15786,N,F,,,,,,
348,0.069501134,904.3945313,2993.115234,2088.720703,82.7916977,-0.67998,N,F,,,,,,
348,0.1361678,1851.855469,3391.479492,1539.624023,253.7475523,-0.57494,N,F,,,,,,
348,0.088979592,1475.024414,4683.47168,3208.447266,498.5825527,-0.92871,N,F,,,,,,
348,0.096099773,1571.923828,3197.680664,1625.756836,555.3917074,-1.32907,N,F,,,,,,
