category,duration,frequency_change,direction
unknown,0.111292517,2853.149414,68.45795226
unknown,0.230839002,3456.079102,-479.0884092
unknown,0.102494331,2228.686523,-380.9853353
unknown,0.084353741,3542.211914,488.9185412
unknown,0.107029478,3649.87793,124.2230615
unknown,0.11015873,2885.449219,-356.1909505
unknown,0.079546485,2099.487305,-348.6516288
unknown,0.118820862,3251.513672,30.94480453
unknown,0.126621315,3628.344727,62.04753439
unknown,0.243764172,3359.179688,455.6037704
unknown,0.107823129,3036.181641,-130.6921408
unknown,0.182834467,3757.543945,603.7798912
unknown,0.11952381,2088.720703,282.9834382
unknown,0.112471655,2820.849609,-560.2250552
unknown,0.100680272,2659.350586,-571.5546614
unknown,0.106984127,2013.354492,-654.9848801
unknown,0.092517007,2444.018555,-108.5303688
unknown,0.136054422,3305.34668,37.01642422
unknown,0.084353741,2863.916016,-143.2882047
unknown,0.132426304,3273.046875,448.1000578
unknown,0.092517007,3176.147461,-107.665857
unknown,0.067120181,2896.21582,396.9762256
unknown,0.134807256,3208.447266,-133.4341497
unknown,0.107414966,2594.750977,501.2685309
unknown,0.107823129,2304.052734,687.7208812
unknown,0.076190476,2551.68457,-393.4853889
unknown,0.104240363,2164.086914,-110.8555855
unknown,0.096145125,3703.710938,254.0958733
unknown,0.128798186,2325.585938,-205.5882349
unknown,0.109183673,2670.117188,-48.0916831
unknown,0.078911565,3036.181641,256.1641166
unknown,0.100816327,3305.34668,368.4356145
unknown,0.117188209,2799.316406,82.23984185
unknown,0.069501134,2088.720703,82.7916977
unknown,0.1361678,1539.624023,253.7475523
unknown,0.088979592,3208.447266,498.5825527
unknown,0.096099773,1625.756836,555.3917074
unknown,0.11829932,2260.986328,361.5690133
unknown,0.140589569,3143.847656,-453.1800415
unknown,0.082539683,1873.388672,615.7466031
unknown,0.069092971,2250.219727,-216.9097616
unknown,0.100068027,2024.121094,692.3867562
unknown,0.091405896,2390.185547,682.0620868
unknown,0.10478458,1970.288086,47.46079745
unknown,0.077528345,3208.447266,795.6231017
unknown,0.088639456,2691.650391,403.1979814
unknown,0.091133787,2056.420898,588.636843
unknown,0.085260771,1916.455078,203.0272411
unknown,0.097052154,1313.525391,363.111335
unknown,0.12154195,2239.453125,-456.616378
unknown,0.093741497,3499.145508,344.6338673
unknown,0.232018141,3951.342773,-635.58293
unknown,0.142834467,3606.811523,-214.5491177
unknown,0.096077098,3057.714844,671.858551
unknown,0.096099773,2982.348633,589.8986224
unknown,0.08707483,3143.847656,484.5617841
unknown,0.114829932,1614.990234,350.6897486
unknown,0.140430839,3865.209961,-387.0897445
unknown,0.096598639,2885.449219,532.1841752
unknown,0.090702948,1701.123047,761.1629699
unknown,0.171088435,1744.189453,-216.5148095
unknown,0.091405896,2896.21582,617.0490672
unknown,0.117596372,1765.722656,-37.74570577
unknown,0.089070295,1733.422852,-417.0021955
unknown,0.096099773,2056.420898,233.8389887
unknown,0.10430839,2971.582031,30.75076212
unknown,0.063265306,2400.952148,-31.75258327
unknown,0.099637188,1798.022461,856.1449966
unknown,0.100680272,2885.449219,402.9060559
unknown,0.069229025,3552.978516,-16.62007008
unknown,0.083446712,2400.952148,-134.5108491
unknown,0.094852608,3466.845703,801.9186419
unknown,0.100385488,3800.610352,531.1426586
unknown,0.075011338,3003.881836,662.9325648
unknown,0.084376417,4005.175781,249.6953458
unknown,0.072653061,3617.578125,448.8680764
unknown,0.068435374,3003.881836,492.8088479
unknown,0.092494331,3736.010742,494.629818
unknown,0.090566893,2196.386719,722.627584
unknown,0.086712018,2454.785156,603.7085625
unknown,0.086712018,3649.87793,466.9712571
unknown,0.060952381,2185.620117,256.7476142
unknown,0.100793651,2971.582031,805.6252881
unknown,0.071836735,2939.282227,679.5157652
unknown,0.070362812,2831.616211,69.93240903
unknown,0.07675737,3552.978516,414.8670361
unknown,0.087006803,1808.789063,572.399431
unknown,0.093424036,2314.819336,509.31015
unknown,0.058594104,3305.34668,289.4857855
unknown,0.098367347,2874.682617,123.6286462
unknown,0.089818594,2680.883789,657.1343885
unknown,0.081609977,1787.255859,643.1348857
unknown,0.082018141,2702.416992,395.2607404
unknown,0.097959184,2088.720703,512.1696668
unknown,0.084353741,2390.185547,806.2155909
unknown,0.034807256,1593.457031,-3.383435321
unknown,0.082040816,3779.077148,407.2740919
unknown,0.082018141,753.6621094,579.5383676
unknown,0.070294785,3219.213867,481.9863172
unknown,0.09446712,2142.553711,384.7793221
unknown,0.069501134,2702.416992,354.498313
unknown,0.080136054,2939.282227,671.7122988
unknown,0.095079365,1927.22168,459.9459837
unknown,0.124240363,2422.485352,138.7554505
unknown,0.077346939,2228.686523,149.1126678
unknown,0.084376417,3445.3125,826.4270129
unknown,0.099750567,2110.253906,673.81169
unknown,0.089047619,2056.420898,543.4795041
unknown,0.077528345,2627.050781,899.1119666
unknown,0.072675737,2207.15332,571.9757138
unknown,0.067959184,3283.813477,-219.6535043
unknown,0.082018141,3843.676758,487.1365704
unknown,0.103129252,2260.986328,575.4712552
unknown,0.082040816,2562.451172,697.5745226
unknown,0.07968254,3079.248047,750.4002646
unknown,0.082018141,2422.485352,542.6523019
