chickID,index,label,start_time,end_time,duration_s,direction,frequency_range_Hz,frequency_slope_Hz_ms,frequency_slope_change_Hz_ms_ms,number_of_high_energy_frequency_bins_n
348,0,Pleasure,18.65795918,18.74612245,0.08816327,127.6248566,0,0,0,12
348,1,Pleasure,19.54938776,19.65714286,0.1077551,231.9344552,2316,16.38575,0.021845333,18
348,2,Pleasure,46.75918367,46.88653061,0.12734694,292.8282249,79,0.0354,6.40E-05,10
348,3,Pleasure,47.08897959,47.19673469,0.1077551,320.3654114,8,0.002,8.53E-05,13
348,4,Pleasure,48.49632653,48.61387755,0.11755102,324.3268272,2801,12.547,0.016384,10
348,5,Pleasure,49.72081633,49.82857143,0.1077551,353.4036254,0,0,0,15
348,6,Pleasure,50.55673469,50.68734694,0.13061225,277.5699659,7,0.0498,6.40E-05,9
348,7,Pleasure,50.81795918,50.94204082,0.12408164,286.121717,0,0,0,10
348,8,Pleasure,51.19673469,51.32081633,0.12408164,421.4076938,7,0.0498,6.23E-05,4
348,9,Pleasure,51.91510204,52.04244898,0.12734694,336.7076495,7,0.0014,6.40E-05,9
348,10,Pleasure,54.63183674,54.74285714,0.1110204,469.7623043,7,0.06225,8.53E-05,4
348,11,Pleasure,56.66285714,56.78693878,0.12408164,342.1917285,29,0.0454,6.40E-05,12
348,12,Pleasure,57.15918367,57.27020408,0.11102041,364.7306963,7,0.00175,8.53E-05,11
348,13,Pleasure,60.35265306,60.46693878,0.11428572,358.0119717,7,0.06225,8.53E-05,9
348,14,Pleasure,61.1722449,61.28653061,0.11428571,263.6221859,0,0,0,13
348,15,Pleasure,61.44326531,61.57061225,0.12734694,338.3501925,0,0,0,5
348,16,Pleasure,61.86122449,61.99183674,0.13061225,423.6297888,7,0.0498,6.40E-05,8
348,17,Pleasure,70.26285714,70.39673469,0.13387755,201.1193028,7,0.0014,6.40E-05,7
348,18,Pleasure,71.73877551,71.87591837,0.13714286,420.7328271,7,0.0014,6.40E-05,9
348,19,Pleasure,72.04571429,72.17632653,0.13061224,349.8019909,0,0,0,9
348,20,Pleasure,72.99591837,73.14285714,0.14693877,261.5812183,36,0.006,5.70E-05,7
348,21,Pleasure,73.3844898,73.52163265,0.13714285,314.1858771,7,0.0498,6.23E-05,4
348,22,Pleasure,73.68163265,73.80897959,0.12734694,363.3315765,7,0.0498,6.40E-05,9
348,23,Pleasure,74.33142857,74.44571429,0.11428572,361.4253581,43,0.01075,8.53E-05,8
348,24,Pleasure,74.6677551,74.79510204,0.12734694,224.1100012,2681,25.6782,0.01703975,12
348,25,Pleasure,75.60489796,75.71591837,0.11102041,230.7923128,72,0.018,6.13E-05,12
348,26,Pleasure,96.99265306,97.12,0.12734694,312.6376113,43,0.0526,0.00011725,11
348,27,Pleasure,97.28653061,97.40734694,0.12081633,270.3261163,0,0,0,6
348,28,Pleasure,98.74612245,98.87020408,0.12408163,367.7312234,2801,13.1044,0.01568725,9
348,29,Pleasure,99.06612245,99.17714286,0.11102041,276.7177953,2560,32.128,0.021845333,9
348,30,Pleasure,99.4122449,99.54285714,0.13061224,103.7835935,29,0.0058,6.95E-05,6
348,31,Pleasure,101.6261224,101.7371429,0.1110205,288.8052465,50,0.1155,0.000156333,11
348,32,Pleasure,102.9191837,103.0334694,0.1142857,333.8455728,7,0.06225,8.53E-05,10
348,33,Pleasure,103.8138776,103.9281633,0.1142857,420.2727105,0,0,0,10
348,34,Pleasure,104.1763265,104.2938776,0.1175511,253.8565003,0,0,0,7
348,35,Pleasure,105.7828571,105.8971429,0.1142858,261.7184229,0,0,0,8
348,36,Pleasure,106.8604082,106.9746939,0.1142857,276.0552241,7,0.00175,8.53E-05,9
348,37,Pleasure,110.7755102,110.8897959,0.1142857,326.993268,7,0.064,8.77E-05,6
348,38,Pleasure,111.1510204,111.2685714,0.117551,285.254375,0,0,0,8
348,39,Pleasure,111.5591837,111.6636735,0.1044898,174.3505448,7,0.00175,8.53E-05,8
348,40,Pleasure,111.9477551,112.0587755,0.1110204,367.6548894,0,0,0,9
348,41,Pleasure,115.7583673,115.8759184,0.1175511,405.5313663,7,0.0498,6.40E-05,6
348,42,Pleasure,118.0734694,118.1812245,0.1077551,356.3361795,7,0.06225,8.53E-05,7
348,43,Pleasure,119.0857143,119.1967347,0.1110204,405.2226559,22,0.0055,7.80E-05,11
348,44,Pleasure,140.9208163,141.0155102,0.0946939,342.5766791,7,0.06225,8.53E-05,7
348,45,Pleasure,141.9330612,142.0571429,0.1240817,358.6991603,7,0.0498,6.40E-05,8
348,46,Pleasure,145.9853061,146.1061224,0.1208163,279.7714598,3027,12.623,0.0327405,15
348,47,Pleasure,149.1069388,149.2179592,0.1110204,308.1061463,7,0.06225,8.53E-05,6
348,48,Pleasure,149.4008163,149.5118367,0.1110204,358.1661113,0,0,0,10
348,49,Pleasure,150.3444898,150.4685714,0.1240816,291.0732209,7,0.0014,6.40E-05,7
348,50,Pleasure,167.9510204,168.0620408,0.1110204,273.1912892,64,0.016,0.000151667,11
348,51,Pleasure,168.2710204,168.3853061,0.1142857,328.0413869,43,0.01075,7.10E-05,12
348,52,Pleasure,168.6857143,168.8097959,0.1240816,320.2657477,7,0.0498,6.40E-05,10
348,53,Pleasure,201.3746939,201.4922449,0.117551,337.560886,7,0.0498,6.40E-05,5
348,54,Pleasure,202.3542857,202.4620408,0.1077551,333.2913841,15,0.00375,8.77E-05,8
348,55,Pleasure,202.8408163,202.9485714,0.1077551,280.7298774,0,0,0,11
348,56,Pleasure,281.4628571,281.5706122,0.1077551,195.7663127,0,0,0,3
348,57,Pleasure,282.7526531,282.8571429,0.1044898,331.6879933,7,0.06225,8.53E-05,7
348,58,Pleasure,295.435102,295.5526531,0.1175511,290.0927876,72,0.0626,6.78E-05,9
348,59,Contact,376.9346032,377.1022222,0.167619,-327.2700526,3255,28.08685714,0.021845333,9
348,60,Contact,377.2487982,377.4704762,0.221678,-297.0716409,3312,21.839,0.032354,7
348,61,Contact,377.5669841,377.767619,0.2006349,-277.7389219,3601,24.581375,0.027642143,7
348,62,Contact,378.2857143,378.5726984,0.2869841,-145.8428723,3770,21.84591667,0.029789091,6
348,63,Contact,378.6057143,378.928254,0.3225397,-181.969615,3601,15.12369231,0.032768,7
348,64,Contact,379.151746,379.3980952,0.2463492,-290.5389782,3558,26.2144,0.021845333,8
348,65,Contact,385.0234921,385.2419048,0.2184127,-237.8907138,3298,7.281777778,0.024576,10
348,66,Contact,385.3384127,385.5187302,0.1803175,-132.312554,2846,9.363285714,0.021845333,4
348,67,Contact,385.607619,385.8768254,0.2692064,-293.2459049,3255,17.87281818,0.0196608,6
348,68,Contact,385.9403175,386.2069841,0.2666666,-287.1509687,3113,11.91563636,0.0196608,6
348,69,Contact,386.6590476,386.8495238,0.1904762,-214.5530042,4116,32.768875,0.028086857,10
348,70,Contact,392.5191837,392.6367347,0.117551,-294.9727694,3248,38.672,0.015677,6
348,71,Contact,392.8261224,392.9567347,0.1306123,-260.1469897,267,13.1072,0.032768,6
348,72,Contact,393.1265306,393.2669388,0.1404082,-267.1934376,557,21.797,0.026244,6
348,73,Contact,394.4391837,394.5893878,0.1502041,-319.088669,142,10.899,2.84E-05,5
348,74,Contact,394.7559184,394.8963265,0.1404081,-262.6431374,3403,32.20083333,0.0256214,5
348,75,Contact,395.0889796,395.2228571,0.1338775,-297.0786018,290,26.1564,3.70E-05,7
348,76,Contact,395.4938776,395.6408163,0.1469387,-280.975728,712,21.77116667,0.0393216,7
348,77,Contact,395.9085714,396.0587755,0.1502041,-279.7906925,409,21.82166667,0.0262428,6
348,78,Contact,480.9092063,481.1098413,0.200635,-299.3783382,3453,32.336375,0.028086857,7
348,79,Contact,481.1809524,481.4450794,0.264127,-220.4694236,4903,29.34336364,0.0197741,7
348,80,Contact,481.5034921,481.7955556,0.2920635,-199.1067941,3615,21.85066667,0.017872818,7
348,81,Contact,481.8946032,482.1688889,0.2742857,-328.8701535,3601,23.83518182,0.0262144,7
348,82,Contact,483.1579138,483.4249433,0.2670295,-263.929451,3770,29.78454545,0.032396,6
348,83,Contact,483.4946032,483.7935601,0.2989569,-207.0306,4442,21.84533333,0.029385909,8
348,84,Contact,483.8864399,484.1766893,0.2902494,-245.0051868,3601,16.38341667,0.017878,8
348,85,Contact,486.2432653,486.517551,0.2742857,-140.3803091,4109,17.87345455,0.0196608,7
348,86,Contact,486.5730612,486.8767347,0.3036735,-166.6648402,4896,25.20946154,0.027306667,9
348,87,Contact,486.9583673,487.2946939,0.3363266,-154.6805257,3637,14.04392857,0.014848923,6
348,88,Contact,487.6016327,487.957551,0.3559183,-125.1450569,3298,21.84533333,0.023405714,5
349,89,Pleasure,28.50539683,28.63020408,0.12480725,350.2516565,7,0.0498,6.40E-05,7
349,90,Pleasure,28.85369615,28.96399093,0.11029478,355.7552683,7,0.06225,8.53E-05,6
349,91,Pleasure,29.25133787,29.34712018,0.09578231,352.3438638,0,0,0,7
349,92,Pleasure,29.57351474,29.68380952,0.11029478,412.3046454,0,0,0,13
349,93,Pleasure,29.92471655,30.01469388,0.08997733,356.917712,2722,20.938,0.001361,14
349,94,Pleasure,30.24108844,30.34557823,0.10448979,303.4120256,7,0.06225,8.53E-05,9
349,95,Pleasure,30.58068027,30.6677551,0.08707483,294.6372642,0,0,0,8
349,96,Pleasure,34.00562358,34.10721088,0.1015873,237.6007907,2545,16.384,0.042842333,11
349,97,Pleasure,34.31909297,34.4061678,0.08707483,363.4685287,3170,1.056666667,0.031634,13
349,98,Pleasure,34.65287982,34.75156463,0.09868481,366.2495997,7,0.00175,8.53E-05,6
349,99,Pleasure,35.33496599,35.44816327,0.11319728,373.7677294,2545,16.384,0.042842333,12
349,100,Pleasure,35.70938776,35.81968254,0.11029478,330.5255216,14,0.06225,8.30E-05,10
349,101,Pleasure,36.30730159,36.4059864,0.09868481,340.6130132,0,0,0,13
349,102,Pleasure,36.68172336,36.79492064,0.11319728,295.7540564,0,0,0,10
349,103,Pleasure,37.21578231,37.34058957,0.12480726,316.1979621,3939,13.1186,0.0317975,12
349,104,Pleasure,38.18811791,38.2984127,0.11029479,287.0277777,2602,16.38225,0.021845333,14
349,105,Pleasure,38.84698413,38.96888889,0.12190476,373.8049193,2481,13.1072,0.016384,12
349,106,Pleasure,39.45360544,39.56390023,0.11029479,278.5427204,0,0,0,10
349,107,Pleasure,40.00507937,40.10376417,0.0986848,307.6639303,7,0.00175,8.53E-05,15
