category,duration,direction,frequency,energy
Pleasure,0.08816327,127.6248566,0,12
Pleasure,0.1077551,231.9344552,2316,18
Pleasure,0.12734694,292.8282249,79,10
Pleasure,0.1077551,320.3654114,8,13
Pleasure,0.11755102,324.3268272,2801,10
Pleasure,0.1077551,353.4036254,0,15
Pleasure,0.13061225,277.5699659,7,9
Pleasure,0.12408164,286.121717,0,10
Pleasure,0.12408164,421.4076938,7,4
Pleasure,0.12734694,336.7076495,7,9
Pleasure,0.1110204,469.7623043,7,4
Pleasure,0.12408164,342.1917285,29,12
Pleasure,0.11102041,364.7306963,7,11
Pleasure,0.11428572,358.0119717,7,9
Pleasure,0.11428571,263.6221859,0,13
Pleasure,0.12734694,338.3501925,0,5
Pleasure,0.13061225,423.6297888,7,8
Pleasure,0.13387755,201.1193028,7,7
Pleasure,0.13714286,420.7328271,7,9
Pleasure,0.13061224,349.8019909,0,9
Pleasure,0.14693877,261.5812183,36,7
Pleasure,0.13714285,314.1858771,7,4
Pleasure,0.12734694,363.3315765,7,9
Pleasure,0.11428572,361.4253581,43,8
Pleasure,0.12734694,224.1100012,2681,12
Pleasure,0.11102041,230.7923128,72,12
Pleasure,0.12734694,312.6376113,43,11
Pleasure,0.12081633,270.3261163,0,6
Pleasure,0.12408163,367.7312234,2801,9
Pleasure,0.11102041,276.7177953,2560,9
Pleasure,0.13061224,103.7835935,29,6
Pleasure,0.1110205,288.8052465,50,11
Pleasure,0.1142857,333.8455728,7,10
Pleasure,0.1142857,420.2727105,0,10
Pleasure,0.1175511,253.8565003,0,7
Pleasure,0.1142858,261.7184229,0,8
Pleasure,0.1142857,276.0552241,7,9
Pleasure,0.1142857,326.993268,7,6
Pleasure,0.117551,285.254375,0,8
Pleasure,0.1044898,174.3505448,7,8
Pleasure,0.1110204,367.6548894,0,9
Pleasure,0.1175511,405.5313663,7,6
Pleasure,0.1077551,356.3361795,7,7
Pleasure,0.1110204,405.2226559,22,11
Pleasure,0.0946939,342.5766791,7,7
Pleasure,0.1240817,358.6991603,7,8
Pleasure,0.1208163,279.7714598,3027,15
Pleasure,0.1110204,308.1061463,7,6
Pleasure,0.1110204,358.1661113,0,10
Pleasure,0.1240816,291.0732209,7,7
Pleasure,0.1110204,273.1912892,64,11
Pleasure,0.1142857,328.0413869,43,12
Pleasure,0.1240816,320.2657477,7,10
Pleasure,0.117551,337.560886,7,5
Pleasure,0.1077551,333.2913841,15,8
Pleasure,0.1077551,280.7298774,0,11
Pleasure,0.1077551,195.7663127,0,3
Pleasure,0.1044898,331.6879933,7,7
Pleasure,0.1175511,290.0927876,72,9
Contact,0.167619,-327.2700526,3255,9
Contact,0.221678,-297.0716409,3312,7
Contact,0.2006349,-277.7389219,3601,7
