Category,PCA_0,PCA_1,PCA_2,PCA_3
Contact,-12.93938415,1.866770098,-1.360376453,-1.472094342
Contact,-18.94717132,-0.979751279,-2.308444848,-3.393193934
Contact,-21.37050334,-1.416575889,-2.338071804,-1.529695308
Contact,-20.12535114,-0.772593256,-2.287833881,3.976221817
Contact,-16.90465054,-1.703735817,2.955796123,1.949254353
Contact,-22.61773468,-3.983913904,-3.941653748,4.070970937
Contact,-13.46691439,6.648589072,-5.641798326,-2.976629653
Contact,-16.90905783,5.322445116,-3.566555727,1.737774704
Contact,-15.75167827,2.415327646,1.190892997,-4.074835065
Contact,-15.15204968,0.053685435,1.691094752,-3.273124463
Contact,-16.67382445,0.170727779,0.557768446,4.513064282
Contact,-19.70759642,2.432669707,-4.974711819,-4.391435137
Contact,-19.06373828,0.984531667,-3.897858931,-3.790486717
Contact,-22.903064,-2.92665403,-4.486842317,-0.113404032
Contact,-19.17955513,0.800687213,-1.244325655,-3.560583676
Contact,-19.5269793,-0.627126875,0.141569341,-1.372459647
Contact,-18.94094944,-1.611862265,1.257351491,-1.70550664
Contact,-19.99397613,-2.227238166,0.605820803,4.528365058
Contact,-21.45456312,-3.543514525,-1.593069688,0.889820106
Contact,-24.95852968,-4.654369993,-6.355228999,2.287662869
Contact,-22.06917117,-6.493823305,-1.653436909,5.940698671
Contact,-18.483462,-4.882899017,2.830155789,2.362012041
Contact,-21.34140909,-2.682704073,-3.181307449,0.986630571
Contact,-21.99141823,-2.535170402,-3.289177143,3.116098922
Contact,-21.55868367,-0.697672359,-2.38005584,6.77908876
Contact,-19.99115616,-0.221350811,-1.262304254,1.397990245
Contact,-21.52344353,-3.175368374,-1.011193223,6.296195559
Contact,-22.29811532,-6.514858841,-2.839391946,7.526501067
Contact,-21.10901162,-6.403989125,-1.742652419,5.295807406
Contact,-20.16248943,-3.230978503,-2.714938037,2.118040457
Contact,-20.58575295,0.039786994,-3.459666073,-2.865437346
Contact,-18.66128453,-3.436336305,0.294757605,1.709289719
Contact,-19.49609331,-4.309637921,0.304033391,-0.850169247
Contact,-21.40085142,-4.115843632,-2.274375608,-1.771084719
Contact,-17.68989717,-1.491755954,0.822835415,-3.415527528
Contact,-15.80725904,1.754736956,-0.088544031,0.351277638
