category,duration,change,direction
pleasure,0.13,2153.32,520.28
pleasure,0.11,1862.62,584.8
pleasure,0.12,624.46,720.92
pleasure,0.13,1195.09,745.78
pleasure,0.11,1991.82,433.63
pleasure,0.11,721.36,867.16
pleasure,0.12,1647.29,686.37
pleasure,0.09,872.09,318.14
pleasure,0.12,829.03,572.13
pleasure,0.13,2131.79,713.31
pleasure,0.11,1819.56,613.14
pleasure,0.11,1711.89,753.24
pleasure,0.11,1033.59,726.64
pleasure,0.12,2444.02,381.56
pleasure,0.11,1162.79,813.33
pleasure,0.11,2239.45,624.06
pleasure,0.12,1173.56,503.83
pleasure,0.11,1431.96,842.39
pleasure,0.13,2282.52,605.16
pleasure,0.13,1130.49,425.43
pleasure,0.11,549.1,445.83
pleasure,0.12,796.73,597.11
pleasure,0.11,1981.05,716.42
pleasure,0.11,1044.36,763.52
pleasure,0.12,1981.05,761.74
pleasure,0.12,1195.09,664.38
pleasure,0.12,1335.06,497.65
pleasure,0.13,506.03,640.13
pleasure,0.11,1098.19,831.45
pleasure,0.12,1044.36,618.27
pleasure,0.14,1184.33,782.81
pleasure,0.09,1485.79,522.14
pleasure,0.13,452.2,578.81
pleasure,0.11,1119.73,722.66
pleasure,0.11,1313.53,828.72
pleasure,0.12,872.09,720.12
pleasure,0.11,1044.36,744.79
pleasure,0.15,592.16,24.62
pleasure,0.11,2131.79,559.14
pleasure,0.11,1776.49,623.68
pleasure,0.14,818.26,817.59
pleasure,0.11,915.16,755.35
pleasure,0.13,1550.39,444.19
pleasure,0.13,925.93,540.85
pleasure,0.13,689.06,466.53
pleasure,0.12,2282.52,8.98
pleasure,0.11,1733.42,744.85
pleasure,0.12,1022.83,686.28
pleasure,0.12,1378.13,554.77
pleasure,0.13,2379.42,497.1
pleasure,0.11,1528.86,706.66
pleasure,0.1,785.96,643.88
pleasure,0.11,2196.39,430.54
pleasure,0.11,1388.89,842.72
pleasure,0.11,2196.39,756.74
pleasure,0.11,1162.79,420.89
pleasure,0.1,1819.56,282.68
pleasure,0.12,1776.49,646.28
pleasure,0.11,1356.59,884.15
contact,0.27,3639.11,-491.53
contact,0.17,1485.79,-532.89
contact,0.19,2390.19,-837.38
contact,0.27,3725.24,-263.15
contact,0.16,1658.06,-652.94
contact,0.19,3649.88,-474.34
contact,0.23,3606.81,-884.7
contact,0.3,3283.81,-897.6
contact,0.2,1055.13,-687.82
contact,0.19,3542.21,-644.78
contact,0.22,3660.64,-1190.76
contact,0.23,3520.68,-663.74
contact,0.29,3832.91,-572.28
contact,0.2,3552.98,-459.97
contact,0.27,3337.65,-903.69
contact,0.21,3208.45,-944.13
contact,0.17,3499.15,-744.87
contact,0.27,3768.31,-941.01
contact,0.22,3660.64,-716.79
contact,0.26,2142.55,-862.48
contact,0.25,3671.41,-791.41
contact,0.32,3725.24,-702.22
contact,0.18,2702.42,-823.21
contact,0.22,1851.86,-1039.75
contact,0.29,2540.92,-1404.35
contact,0.32,3951.34,-1027.37
contact,0.3,3111.55,-505.61
contact,0.27,3133.08,-587.57
contact,0.31,3768.31,-932.37
contact,0.29,3886.74,10.76
pleasure,0.12,1894.92,711.82
pleasure,0.1,872.09,1017.1
pleasure,0.11,1098.19,845.89
pleasure,0.11,807.5,982.23
pleasure,0.1,1195.09,867.84
pleasure,0.11,1248.93,719.57
pleasure,0.1,656.76,1079.98
pleasure,0.12,656.76,917.37
pleasure,0.11,807.5,804.42
pleasure,0.1,1270.46,711.98
pleasure,0.1,1119.73,797.16
pleasure,0.11,1141.26,848.17
pleasure,0.1,1076.66,900.54
pleasure,0.1,635.23,583.54
pleasure,0.11,1485.79,876
pleasure,0.12,1302.76,937.74
pleasure,0.11,1076.66,837.57
pleasure,0.09,1313.53,472.04
pleasure,0.09,1367.36,638
pleasure,0.12,1679.59,758.99
pleasure,0.11,1388.89,808.23
pleasure,0.1,958.23,724.04
pleasure,0.11,1701.12,743.26
pleasure,0.12,1195.09,859.05
pleasure,0.12,1291.99,576.17
pleasure,0.12,1378.13,921.2
pleasure,0.12,915.16,681.55
pleasure,0.11,581.4,929.91
pleasure,0.12,1485.79,932.15
pleasure,0.12,1259.69,840.23
pleasure,0.1,1561.16,838.45
pleasure,0.08,1205.86,454.5
pleasure,0.1,1561.16,708.05
pleasure,0.11,1076.66,867.59
pleasure,0.09,1001.29,927.82
pleasure,0.11,1367.36,745.56
pleasure,0.11,1496.56,555.61
pleasure,0.09,947.46,872.61
pleasure,0.1,1130.49,945.74
pleasure,0.11,1195.09,877.72
pleasure,0.11,1152.03,978.81
pleasure,0.1,732.13,778.25
