N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
1,1,0.077458054,1553.538081,3019.8878,1466.349719,16.24760533,2477.491132,-314.186231,0.084848996,0.123656139
2,1,0.081464505,1743.767234,2718.691641,974.9244077,290.2793031,2241.934072,-363.5831292,-0.104335929,0.106761259
3,1,0.057425798,1513.907007,3336.936388,1823.02938,-274.5853261,2483.379711,-335.0912383,-0.006834754,0.104245001
4,1,0.082799988,1529.759437,2900.994579,1371.235142,271.9374639,2192.5657,-291.3543101,-0.03571264,0.10352607
5,1,0.070780636,1624.874013,2726.617856,1101.743843,354.9876267,2192.001079,-322.717,-0.067212089,0.104245001
6,1,0.084135472,1505.980793,3289.379099,1783.398307,-48.31697509,2472.233692,-298.8015761,-0.048165816,0.116107363
7,3,0.081464505,1395.013787,3075.371302,1680.357516,-34.39554035,2344.267074,-296.7203432,0.01230816,0.116107363
8,3,0.082799988,1609.021583,2940.625653,1331.60407,128.3302221,2212.25577,-355.7138669,0.032543066,0.101728742
9,3,0.078793537,1688.283731,2694.912997,1006.629266,190.7269293,2213.908371,-284.4583659,-0.040700132,0.099931415
10,1,0.082799988,1450.49729,3218.043167,1767.545877,150.2560623,2254.607185,-321.7366735,0.016345283,0.104604466
11,1,0.082265795,1521.833222,3146.707235,1624.874013,25.0471127,2325.252648,-353.7778613,-0.009888623,0.105682863
12,1,0.056090315,1529.759437,3083.297517,1553.538081,1.984667927,2426.426289,-332.4148437,-0.077906272,0.114310035
13,1,0.076122571,1537.685651,3019.8878,1482.202148,80.04023925,2427.139668,-361.5676965,-0.021414092,0.124015604
14,1,0.078526441,1529.759437,3146.707235,1616.947798,23.07380775,2346.90188,-398.4365231,-0.074625628,0.112153242
15,3,0.065438701,1513.907007,3305.231529,1791.324522,-144.453436,2532.68193,-292.0876832,-0.16046213,0.118623622
16,3,0.072650312,1521.833222,3083.297517,1561.464296,61.0857462,2293.394761,-412.0896111,-0.027989169,0.10352607
17,3,0.058761282,1490.128363,3067.445088,1577.316725,-25.82575676,2408.976066,-369.696766,-0.080292207,0.114669501
18,3,0.08680644,1521.833222,2940.625653,1418.792431,63.18470465,2338.216677,-305.7713597,0.026541131,0.108918052
19,3,0.058761282,1434.64486,3313.157743,1878.512883,120.3009306,2539.314852,-283.4970403,-0.038524127,0.12113988
20,3,0.073451603,1561.464296,2900.994579,1339.530284,133.0804142,2292.307664,-359.738239,0.028708111,0.112512707
