N,category,duration,minimum,maximum,frequency_range,direction,centroid,mel,tonnetz,zerocross
1,P,0.10521542,2110.253906,4102.075195,1991.821289,22.06999175,3365.308778,-426.77597,0.115254932,0.16796875
2,P,0.110657596,2368.652344,3692.944336,1324.291992,394.3019105,3045.339018,-493.87442,-0.141725076,0.145019531
3,P,0.078004535,2056.420898,4532.739258,2476.318359,-372.9839417,3373.307549,-455.17236,-0.009284012,0.141601563
4,P,0.112471655,2077.954102,3940.576172,1862.62207,369.3872088,2978.279317,-395.76215,-0.04851039,0.140625
5,P,0.096145125,2207.15332,3703.710938,1496.557617,482.198689,2977.512362,-438.36377,-0.091297777,0.141601563
6,P,0.114285714,2045.654297,4468.139648,2422.485352,-65.63153275,3358.167315,-405.87817,-0.065426205,0.157714844
7,P,0.112471655,1970.288086,4371.240234,2400.952148,204.1008497,3062.553585,-437.03214,0.022202672,0.142089844
8,P,0.111746032,2067.1875,4274.34082,2207.15332,34.02283347,3158.515098,-480.5554,-0.013432246,0.143554688
9,P,0.076190476,2077.954102,4188.208008,2110.253906,2.695880646,3295.944669,-451.53687,-0.105824258,0.155273438
10,P,0.103401361,2088.720703,4102.075195,2013.354492,108.72294,3296.91369,-491.13675,-0.029087907,0.168457031
11,P,0.106666667,2077.954102,4274.34082,2196.386719,31.34238777,3187.922408,-541.21765,-0.101367984,0.15234375
12,P,0.141496599,2077.954102,4285.107422,2207.15332,-194.5597922,3392.497819,-478.0099,-0.069465897,0.170410156
13,P,0.165079365,2045.654297,4198.974609,2153.320313,-129.9599538,3268.980034,-496.282,0.074301384,0.166992188
14,P,0.126984127,2034.887695,4338.94043,2304.052734,11.32649452,3309.668537,-501.8673,-0.044810627,0.16796875
15,P,0.072562358,2142.553711,4392.773438,2250.219727,-163.8580404,3408.597752,-508.99405,-0.06192382,0.162597656
16,P,0.099773243,2034.887695,4435.839844,2400.952148,130.3688156,3237.961451,-492.98273,0.051776861,0.147460938
17,P,0.117913832,2034.887695,4446.606445,2411.71875,-20.29781309,3171.112544,-498.83435,-0.076213769,0.145507813
18,P,0.143310658,2024.121094,4640.405273,2616.28418,-456.3850756,3554.580789,-346.72183,-0.08698007,0.173828125
19,P,0.116099773,1873.388672,4231.274414,2357.885742,21.72822725,3236.949363,-408.83844,-0.050424507,0.16796875
20,P,0.148752834,1873.388672,4500.439453,2627.050781,-188.9694246,3524.948507,-343.17874,0.016475711,0.172363281
21,P,0.137868481,2099.487305,4457.373047,2357.885742,-286.3574057,3602.39099,-527.1051,0.019881831,0.17578125
22,P,0.254693878,2530.151367,4252.807617,1722.65625,-581.0489615,3698.551508,-440.15112,-0.037729386,0.176757813
23,P,0.219863946,2088.720703,4048.242188,1959.521484,-188.8074088,3479.740621,-415.93494,-0.043794261,0.166992188
24,P,0.230748299,2196.386719,4166.674805,1970.288086,-442.4176916,3681.391524,-468.79767,-0.092986666,0.180175781
25,P,0.265578231,2088.720703,4155.908203,2067.1875,-143.5330684,3479.478792,-447.67596,-0.073449056,0.168945313
