duration_scaled,frequency_change_scaled,direction_scaled
0.259,6650.698,159.576
0.538,8056.128,-1116.756
0.239,5195.073,-888.078
0.197,8256.904,1139.67
0.249,8507.874,289.564
0.257,6725.989,-830.282
0.185,4893.91,-812.708
0.277,7579.286,72.132
0.295,8457.68,144.633
0.568,7830.256,1062.013
0.251,7077.346,-304.644
0.426,8758.844,1407.412
0.279,4868.813,659.635
0.262,6575.407,-1305.886
0.235,6198.952,-1332.295
0.249,4693.134,-1526.771
0.216,5697.013,-252.985
0.317,7704.771,86.285
0.197,6675.795,-334.005
0.309,7629.48,1044.522
0.216,7403.607,-250.969
0.156,6751.086,925.353
0.314,7478.898,-311.035
0.25,6048.371,1168.458
0.251,5370.752,1603.079
0.178,5947.983,-917.215
0.243,5044.492,-258.405
0.224,8633.359,592.298
0.3,5420.946,-479.227
0.255,6224.049,-112.102
0.184,7077.346,597.119
0.235,7704.771,858.824
0.273,6525.213,191.701
0.162,4868.813,192.988
0.317,3588.867,591.486
0.207,7478.898,1162.197
0.224,3789.643,1294.619
0.276,5270.364,842.818
0.328,7328.316,-1056.364
0.192,4366.873,1435.307
0.161,5245.267,-505.617
0.233,4718.231,1613.955
0.213,5571.528,1589.888
0.244,4592.746,110.631
0.181,7478.898,1854.599
0.207,6274.243,939.855
0.212,4793.522,1372.114
0.199,4467.261,473.257
0.226,3061.831,846.413
0.283,5220.17,-1064.374
0.219,8156.516,803.342
0.541,9210.589,-1481.545
0.333,8407.486,-500.114
0.224,7127.54,1566.104
0.224,6951.862,1375.055
0.203,7328.316,1129.515
0.268,3764.546,817.459
0.327,9009.813,-902.307
0.225,6725.989,1240.523
0.211,3965.322,1774.273
0.399,4065.71,-504.697
0.213,6751.086,1438.343
0.274,4115.904,-87.985
0.208,4040.613,-972.033
0.224,4793.522,545.079
0.243,6926.765,71.68
0.147,5596.625,-74.015
0.232,4191.195,1995.676
0.235,6725.989,939.175
0.161,8282.001,-38.741
0.195,5596.625,-313.545
0.221,8081.225,1869.274
0.234,8859.232,1238.095
0.175,7002.056,1545.297
0.197,9336.074,582.04
0.169,8432.583,1046.313
0.16,7002.056,1148.739
0.216,8708.65,1152.983
0.211,5119.783,1684.447
0.202,5722.11,1407.246
0.202,8507.874,1088.511
0.142,5094.686,598.479
0.235,6926.765,1877.914
0.167,6851.474,1583.953
0.164,6600.504,163.013
0.179,8282.001,967.056
0.203,4216.292,1334.264
0.218,5395.849,1187.203
0.137,7704.771,674.792
0.229,6700.892,288.179
0.209,6249.146,1531.782
0.19,4166.098,1499.149
0.191,6299.34,921.354
0.228,4868.813,1193.869
0.197,5571.528,1879.29
0.081,3714.352,-7.887
0.191,8809.038,949.357
0.191,1756.788,1350.905
0.164,7503.995,1123.511
0.22,4994.298,896.921
0.162,6299.34,826.336
0.187,6851.474,1565.763
0.222,4492.358,1072.135
0.29,5646.819,323.439
0.18,5195.073,347.582
0.197,8031.031,1926.403
0.233,4919.007,1570.657
0.208,4793.522,1266.852
0.181,6123.661,2095.832
0.169,5144.88,1333.277
0.158,7654.577,-512.013
0.191,8959.619,1135.516
0.24,5270.364,1341.425
0.191,5973.08,1626.048
0.186,7177.734,1749.185
0.191,5646.819,1264.924
0.224,7478.898,462.82
0.158,8156.516,-578.96
0.213,5220.17,1430.754
0.169,5947.983,1464.644
0.239,4693.134,27.296
0.161,3965.322,98.89
0.139,6575.407,-644.758
0.226,5119.783,919.862
0.189,3438.285,816.377
0.256,5295.461,251.151
0.208,4592.746,-652.32
0.246,4994.298,1191.031
0.212,8206.71,1525.985
0.158,6500.116,1332.697
0.134,5947.983,662.53
0.191,4919.007,-328.524
0.208,7378.51,-115.191
0.181,6098.565,22.268
0.119,7554.189,250.32
0.219,3413.188,982.189
0.219,7353.413,226.847
0.23,8081.225,1686.014
0.219,6148.758,1092.122
0.257,6173.855,-320.854
0.186,5019.395,-139.9
0.246,5295.461,1811.023
0.21,6023.274,700.134
0.137,5772.304,168.441
0.191,5822.498,-595.94
0.251,6500.116,424.142
0.153,4592.746,1044.59
0.208,7478.898,1568.673
0.262,5220.17,1415.741
0.224,4642.94,1407.477
0.18,5220.17,-294.436
0.164,4868.813,-386.203
0.126,2584.988,-316.021
0.208,4216.292,642.45
0.208,7403.607,-685.974
0.213,7227.928,1344.911
0.18,7980.838,1662.637
0.158,3965.322,-242.197
0.339,4919.007,409.137
0.175,7227.928,1108.212
0.3,5019.395,1356.98
0.202,7378.51,1211.457
0.175,6650.698,2411.748
0.169,5521.334,551.41
0.213,8231.807,1392.006
0.148,4668.037,139.984
0.171,8031.031,1632.472
0.187,4040.613,-61.795
0.164,4391.97,-449.982
0.26,4793.522,-242.111
0.24,7278.122,-374.423
0.108,5998.177,26.243
0.201,3915.128,-322.527
0.142,5044.492,-179.306
0.219,4442.164,-614.011
0.143,5998.177,-815.431
0.202,7780.062,1675.421
0.191,4216.292,1305.834
0.11,6148.758,-34.027
0.146,4994.298,-357.248
0.074,7303.219,-227.689
0.142,5295.461,405.663
0.131,5722.11,127.981
0.128,5571.528,172.65
0.232,4893.91,-327.271
0.208,6073.468,777.857
0.141,4191.195,-596.1
0.145,5646.819,-362.565
0.208,6901.668,1460.395
0.158,5220.17,-197.765
0.126,5822.498,-227.464
0.169,4818.619,-302.94
0.186,4944.104,-434.918
0.209,6926.765,1070.619
0.24,1581.109,129.977
