prog,category,duration_scaled,frequency_change_scaled,direction_scaled
1,unknown,0.259423117,6650.697935,159.5756463
2,unknown,0.538086252,8056.128443,-1116.756199
3,unknown,0.238914524,5195.07348,-888.0777047
4,unknown,0.196628767,8256.904228,1139.670259
5,unknown,0.249485963,8507.873963,289.5642459
6,unknown,0.256780256,6725.988855,-830.2819359
7,unknown,0.185423042,4893.909802,-812.7077594
8,unknown,0.276971706,7579.285949,72.13241149
9,unknown,0.29515458,8457.680016,144.6329473
10,unknown,0.568214853,7830.255683,1062.013451
11,unknown,0.251335965,7077.346483,-304.6436848
12,unknown,0.426187569,8758.843695,1407.412334
13,unknown,0.27861028,4868.812828,659.6350541
14,unknown,0.26217169,6575.407014,-1305.88591
15,unknown,0.234685949,6198.952415,-1332.295248
16,unknown,0.249380249,4693.134014,-1526.771282
17,unknown,0.215657359,5697.012949,-252.9845427
18,unknown,0.317143175,7704.770816,86.28537114
19,unknown,0.196628767,6675.794909,-334.0051392
20,unknown,0.308686023,7629.479895,1044.522279
21,unknown,0.215657359,7403.607135,-250.9693636
22,unknown,0.156457298,6751.085828,925.3525072
23,unknown,0.314236028,7478.898056,-311.035314
24,unknown,0.250384536,6048.370576,1168.458114
25,unknown,0.251335965,5370.752294,1603.078977
26,unknown,0.177600177,5947.982681,-917.2153587
27,unknown,0.242984529,5044.491641,-258.4046282
28,unknown,0.22411451,8633.35883,592.298073
29,unknown,0.300228872,5420.946242,-479.2266548
30,unknown,0.254507396,6224.049389,-112.1018254
31,unknown,0.183943042,7077.346483,597.1191529
32,unknown,0.235003093,7704.770816,858.8242762
33,unknown,0.273165988,6525.213068,191.7012631
34,unknown,0.162007305,4868.812828,192.9876403
35,unknown,0.317407459,3588.867186,591.4861359
36,unknown,0.207411636,7478.898056,1162.197093
37,unknown,0.224008795,3789.642974,1294.619365
38,unknown,0.275755991,5270.364401,842.8182128
39,unknown,0.327714613,7328.316214,-1056.363733
40,unknown,0.192400193,4366.873361,1435.306767
41,unknown,0.161055876,5245.267429,-505.6171599
42,unknown,0.233258804,4718.230988,1613.955143
43,unknown,0.213067357,5571.528082,1589.888314
44,unknown,0.2442531,4592.746121,110.6312295
45,unknown,0.180718753,7478.898056,1854.599305
46,unknown,0.206618779,6274.243336,939.8554345
47,unknown,0.21243307,4793.521907,1372.113853
48,unknown,0.198743056,4467.261254,473.2569723
49,unknown,0.226228797,3061.830748,846.4133683
50,unknown,0.283314569,5220.170455,-1064.373841
51,unknown,0.218511648,8156.516336,803.342348
52,unknown,0.540834828,9210.589214,-1481.545291
53,unknown,0.332947476,8407.486068,-500.1144935
54,unknown,0.223955939,7127.540429,1566.103848
55,unknown,0.224008795,6951.861615,1375.055064
56,unknown,0.202971632,7328.316214,1129.514648
57,unknown,0.267668839,3764.546,817.4586214
58,unknown,0.327344613,9009.813429,-902.3070967
59,unknown,0.225171653,6725.988855,1240.522553
60,unknown,0.211428783,3965.321788,1774.272657
61,unknown,0.398807541,4065.709681,-504.6965256
62,unknown,0.213067357,6751.085828,1438.342814
63,unknown,0.274117417,4115.903627,-87.98532814
64,unknown,0.207623065,4040.612709,-972.0330897
65,unknown,0.224008795,4793.521907,545.0792277
66,unknown,0.2431431,6926.764641,71.68009818
67,unknown,0.147471576,5596.625054,-74.01534562
68,unknown,0.232254517,4191.194548,1995.675983
69,unknown,0.234685949,6725.988855,939.1749555
70,unknown,0.161373019,8282.001203,-38.7414221
